chr	pos 	N	X
chr21	5073540	2	2
chr21	5084392	1	1
chr21	5086825	1	0
chr21	5086856	1	1
chr21	5089924	1	1
chr21	5089959	1	1
chr21	5089978	1	1
chr21	5090308	2	2
chr21	5096136	1	1
chr21	5096148	1	1
chr21	5096152	1	1
chr21	5096874	1	1
chr21	5096907	1	1
chr21	5096922	1	1
chr21	5097306	1	1
chr21	5097342	1	1
chr21	5097363	1	1
chr21	5098308	1	1
chr21	5100034	4	3
chr21	5100058	4	4
chr21	5100074	3	3
chr21	5100079	2	1
chr21	5100093	2	2
chr21	5100098	1	0
chr21	5101932	2	0
chr21	5101937	3	0
chr21	5101973	4	0
chr21	5101996	4	0
chr21	5102032	2	1
chr21	5102044	2	1
chr21	5103414	1	1
chr21	5103426	1	1
chr21	5107337	1	1
chr21	5111262	2	2
chr21	5111333	1	1
chr21	5111339	3	3
chr21	5111341	3	3
chr21	5111383	2	2
chr21	5112243	1	1
chr21	5112935	1	1
chr21	5112941	1	1
chr21	5112958	1	1
chr21	5112966	1	1
chr21	5112997	1	1
chr21	5113012	1	1
chr21	5113741	1	0
chr21	5113770	2	2
chr21	5113839	1	0
chr21	5113841	1	1
chr21	5115009	1	0
chr21	5115047	1	0
chr21	5115059	1	1
chr21	5115161	1	1
chr21	5115170	1	1
chr21	5115181	1	1
chr21	5115759	1	0
chr21	5115768	1	1
chr21	5115772	1	1
chr21	5115778	2	2
chr21	5115782	2	1
chr21	5115802	2	1
chr21	5115844	2	1
chr21	5115877	1	0
chr21	5115892	1	0
chr21	5116096	1	0
chr21	5116098	1	0
chr21	5118102	2	2
chr21	5118108	2	2
chr21	5118168	1	1
chr21	5118427	1	1
chr21	5118442	1	1
chr21	5118455	1	1
chr21	5118464	1	1
chr21	5119334	2	2
chr21	5121572	1	0
chr21	5122329	1	0
chr21	5122339	1	0
chr21	5122401	2	2
chr21	5122430	1	0
chr21	5122444	1	1
chr21	5123912	1	0
chr21	5123918	1	0
chr21	5123929	1	0
chr21	5128434	1	0
chr21	5128442	1	0
chr21	5128448	1	0
chr21	5128457	2	0
chr21	5128462	2	0
chr21	5128475	2	0
chr21	5128481	2	0
chr21	5128505	2	0
chr21	5128508	2	0
chr21	5128515	2	0
chr21	5128522	1	0
chr21	5128524	1	0
chr21	5128530	1	0
chr21	5130770	2	2
chr21	5130817	2	2
chr21	5132030	1	1
chr21	5132059	3	2
chr21	5132065	3	3
chr21	5132911	1	1
chr21	5132937	1	1
chr21	5132945	1	1
chr21	5132963	1	1
chr21	5132965	1	1
chr21	5132977	1	1
chr21	5133234	1	1
chr21	5133264	1	1
chr21	5133273	1	1
chr21	5138778	1	1
chr21	5139298	1	1
chr21	5141756	2	2
chr21	5141762	2	2
chr21	5141786	3	3
chr21	5141838	1	1
chr21	5143164	2	2
chr21	5143250	4	4
chr21	5143471	2	2
chr21	5144881	1	1
chr21	5144920	2	2
chr21	5144922	2	2
chr21	5144932	2	2
chr21	5144938	2	2
chr21	5144950	2	2
chr21	5144966	1	1
chr21	5144968	1	1
chr21	5145391	2	2
chr21	5145398	2	2
chr21	5145415	3	3
chr21	5145466	1	1
chr21	5145468	1	1
chr21	5147121	1	1
chr21	5147123	1	1
chr21	5147131	1	1
chr21	5147170	1	1
chr21	5147190	1	1
chr21	5147203	1	1
chr21	5148679	1	1
chr21	5148690	1	1
chr21	5148724	1	1
chr21	5148735	1	1
chr21	5149217	1	1
chr21	5149907	1	1
chr21	5149935	1	1
chr21	5150796	1	1
chr21	5150828	1	1
chr21	5154749	1	0
chr21	5154756	2	0
chr21	5154765	3	0
chr21	5154767	3	0
chr21	5154769	3	0
chr21	5154771	3	0
chr21	5154775	3	0
chr21	5154780	3	0
chr21	5154786	3	0
chr21	5154788	3	0
chr21	5154796	3	0
chr21	5154800	4	0
chr21	5154805	4	0
chr21	5154826	4	0
chr21	5154829	4	0
chr21	5154835	4	0
chr21	5154840	3	0
chr21	5154845	1	0
chr21	5154885	2	0
chr21	5154897	2	0
chr21	5154904	2	0
chr21	5154915	2	0
chr21	5154933	2	0
chr21	5154944	2	0
chr21	5154946	2	0
chr21	5154954	2	0
chr21	5154961	2	0
chr21	5154963	2	0
chr21	5154968	2	0
chr21	5154972	1	0
chr21	5217431	2	1
chr21	5217446	1	1
chr21	5217481	2	0
chr21	5217621	1	0
chr21	5218122	5	2
chr21	5218159	9	4
chr21	5218241	6	5
chr21	5218438	2	2
chr21	5218523	7	3
chr21	5218613	3	1
chr21	5218677	8	5
chr21	5218884	3	0
chr21	5218931	2	0
chr21	5219983	1	1
chr21	5220097	1	1
chr21	5220125	1	1
chr21	5220222	2	1
chr21	5220527	1	0
chr21	5220614	6	5
chr21	5220617	7	4
chr21	5220671	6	4
chr21	5220714	4	1
chr21	5220719	4	4
chr21	5221408	1	0
chr21	5221542	3	3
chr21	5221745	4	0
chr21	5221775	1	1
chr21	5221894	2	2
chr21	5222069	1	1
chr21	5222938	4	2
chr21	5222959	4	2
chr21	5223187	1	1
chr21	5223563	2	0
chr21	5223603	2	1
chr21	5223639	4	1
chr21	5224121	1	1
chr21	5224306	7	4
chr21	5224318	7	5
chr21	5224367	2	2
chr21	5224871	3	2
chr21	5225184	1	1
chr21	5225196	1	0
chr21	5225285	1	0
chr21	5225320	1	0
chr21	5225961	2	0
chr21	5226036	1	1
chr21	5227650	1	0
chr21	5227866	2	2
chr21	5228024	5	2
chr21	5228174	3	0
chr21	5228479	14	8
chr21	5228628	2	1
chr21	5228660	2	2
chr21	5228751	8	3
chr21	5228782	7	2
chr21	5229265	1	0
chr21	5229282	2	0
chr21	5229296	1	0
chr21	5229545	1	0
chr21	5229866	2	2
chr21	5229911	1	0
chr21	5230650	2	0
chr21	5230793	3	2
chr21	5230848	3	2
chr21	5230923	1	1
chr21	5231090	2	2
chr21	5231107	2	2
chr21	5231375	9	6
chr21	5231388	10	9
chr21	5231419	8	7
chr21	5231451	10	7
chr21	5231469	13	11
chr21	5231513	17	12
chr21	5231531	16	16
chr21	5231545	14	13
chr21	5231577	10	8
chr21	5232159	2	0
chr21	5232336	8	8
chr21	5232626	1	0
chr21	5232773	9	8
chr21	5232784	4	4
chr21	5233050	1	0
chr21	5233131	1	0
chr21	5233361	1	1
chr21	5233408	3	1
chr21	5233453	1	1
chr21	5233551	1	0
chr21	5233585	1	1
chr21	5233587	1	1
chr21	5233615	1	1
chr21	5233689	5	4
chr21	5233704	5	5
chr21	5233709	5	4
chr21	5234600	1	1
chr21	5234618	2	2
chr21	5235218	1	1
chr21	5235591	1	1
chr21	5235810	1	0
chr21	5235975	9	6
chr21	5236922	2	2
chr21	5236942	2	2
chr21	5237002	3	3
chr21	5237216	1	1
chr21	5237245	3	2
chr21	5237251	4	4
chr21	5237541	1	1
chr21	5237631	3	0
chr21	5238021	3	0
chr21	5238066	3	3
chr21	5238208	1	1
chr21	5238379	2	0
chr21	5238717	1	0
chr21	5238875	1	0
chr21	5239041	2	2
chr21	5239100	5	3
chr21	5239253	1	1
chr21	5239527	1	1
chr21	5239910	1	1
chr21	5240036	1	0
chr21	5240539	3	0
chr21	5240607	1	0
chr21	5240706	2	0
chr21	5240817	3	3
chr21	5240984	1	1
chr21	5241974	1	1
chr21	5242127	2	2
chr21	5242181	2	2
chr21	5242547	1	1
chr21	5243040	3	2
chr21	5243162	1	1
chr21	5243201	1	1
chr21	5243340	1	0
chr21	5243461	1	1
chr21	5243715	1	1
chr21	5243731	1	1
chr21	5243785	1	1
chr21	5243831	2	0
chr21	5243932	1	1
chr21	5243975	1	0
chr21	5244008	1	1
chr21	5244018	1	1
chr21	5244094	2	1
chr21	5244104	2	2
chr21	5244147	2	0
chr21	5244202	3	2
chr21	5244251	4	3
chr21	5244257	5	3
chr21	5244281	2	2
chr21	5244335	4	4
chr21	5244374	4	4
chr21	5244452	1	0
chr21	5244573	1	0
chr21	5244896	1	0
chr21	5244993	2	1
chr21	5245188	1	0
chr21	5245304	2	2
chr21	5245348	2	1
chr21	5246114	2	1
chr21	5246282	2	1
chr21	5246309	2	1
chr21	5246345	5	3
chr21	5246381	6	5
chr21	5246465	5	4
chr21	5246482	4	3
chr21	5246574	2	2
chr21	5246615	2	2
chr21	5246733	4	4
chr21	5246774	4	0
chr21	5246816	10	0
chr21	5247079	1	0
chr21	5247453	7	4
chr21	5247563	2	2
chr21	5247587	3	3
chr21	5247592	4	4
chr21	5247596	4	4
chr21	5248399	1	0
chr21	5248439	3	2
chr21	5248578	1	1
chr21	5248601	1	1
chr21	5248902	4	4
chr21	5249197	1	1
chr21	5250252	6	5
chr21	5250674	7	3
chr21	5250705	1	0
chr21	5251087	2	1
chr21	5251182	10	7
chr21	5251186	8	7
chr21	5251554	7	5
chr21	5251593	5	4
chr21	5252197	2	1
chr21	5252409	7	6
chr21	5252438	6	6
chr21	5252557	3	1
chr21	5252853	1	0
chr21	5252898	1	1
chr21	5252915	1	1
chr21	5252940	3	3
chr21	5253272	1	1
chr21	5253677	1	1
chr21	5253952	5	2
chr21	5254097	1	0
chr21	5254130	1	1
chr21	5254133	1	1
chr21	5254294	4	1
chr21	5261888	1	1
chr21	5270290	1	0
chr21	5276455	1	0
chr21	5283842	1	1
chr21	5289785	1	0
chr21	5290592	2	2
chr21	5290603	2	2
chr21	5290607	2	1
chr21	5291458	1	1
chr21	5291975	2	2
chr21	5293534	1	1
chr21	5293711	1	1
chr21	5293714	1	1
chr21	5293869	2	1
chr21	5293874	2	1
chr21	5294786	1	1
chr21	5294918	1	1
chr21	5295595	1	0
chr21	5296455	3	3
chr21	5296540	1	0
chr21	5296618	2	1
chr21	5296882	2	1
chr21	5296967	3	2
chr21	5297791	3	2
chr21	5297814	3	2
chr21	5297987	1	1
chr21	5298004	1	1
chr21	5298232	1	1
chr21	5298291	1	1
chr21	5299609	1	1
chr21	5300009	1	1
chr21	5301242	1	1
chr21	5301246	1	1
chr21	5301248	1	1
chr21	5301254	1	1
chr21	5301302	1	1
chr21	5301310	1	1
chr21	5301317	1	1
chr21	5301326	1	0
chr21	5302299	1	1
chr21	5304297	2	2
chr21	5307055	1	1
chr21	5311986	3	2
chr21	5312010	3	3
chr21	5312058	1	1
chr21	5312252	1	0
chr21	5312410	1	1
chr21	5312432	1	0
chr21	5312496	2	2
chr21	5312923	1	1
chr21	5313519	2	2
chr21	5313955	1	0
chr21	5316673	1	1
chr21	5318759	1	1
chr21	5320418	1	0
chr21	5322452	1	1
chr21	5322498	1	1
chr21	5323186	1	0
chr21	5323520	1	0
chr21	5323691	1	1
chr21	5326213	1	1
chr21	5326712	1	0
chr21	5329927	2	2
chr21	5329968	1	1
chr21	5330641	1	1
chr21	5330651	1	1
chr21	5330664	1	1
chr21	5330696	1	1
chr21	5331050	1	1
chr21	5331331	1	0
chr21	5333545	1	1
chr21	5333589	2	0
chr21	5333593	2	1
chr21	5336750	1	1
chr21	5339717	1	0
chr21	5341613	1	1
chr21	5343898	1	1
chr21	5349443	1	1
chr21	5349460	1	0
chr21	5349477	1	1
chr21	5353632	2	1
chr21	5368063	1	1
chr21	5371490	1	0
chr21	5373066	1	1
chr21	5373411	1	0
chr21	5374003	2	0
chr21	5378847	1	1
chr21	5378854	2	1
chr21	5380167	1	1
chr21	5380960	1	1
chr21	5382099	1	1
chr21	5383960	1	0
chr21	5388081	1	1
chr21	5545648	1	0
chr21	5898774	1	1
chr21	6069150	2	2
chr21	6069207	2	2
chr21	6069215	2	2
chr21	6070460	7	7
chr21	6071690	1	1
chr21	6071720	2	2
chr21	6071737	2	1
chr21	6071781	1	1
chr21	6072029	1	1
chr21	6078717	1	1
chr21	6079017	1	1
chr21	6079027	1	1
chr21	6079051	2	2
chr21	6079068	2	2
chr21	6079084	2	2
chr21	6079089	2	2
chr21	6080100	2	2
chr21	6080155	3	3
chr21	6083050	1	1
chr21	6083062	1	0
chr21	6086706	3	3
chr21	6086710	3	1
chr21	6086719	3	3
chr21	6086756	3	3
chr21	6086760	3	2
chr21	6086768	1	1
chr21	6086772	1	1
chr21	6086788	1	1
chr21	6092594	1	1
chr21	6092618	1	1
chr21	6092632	1	0
chr21	6092873	1	1
chr21	6092875	1	1
chr21	6092899	1	1
chr21	6093545	2	0
chr21	6093557	2	0
chr21	6093563	4	2
chr21	6093583	4	1
chr21	6093591	4	1
chr21	6093600	4	1
chr21	6093616	4	0
chr21	6093628	3	1
chr21	6093635	2	1
chr21	6093645	2	1
chr21	6093647	2	1
chr21	6093652	1	0
chr21	6093994	1	1
chr21	6094009	2	2
chr21	6094020	2	2
chr21	6094033	3	2
chr21	6094055	3	2
chr21	6094057	3	2
chr21	6094092	1	1
chr21	6095327	1	1
chr21	6096277	1	1
chr21	6096347	1	1
chr21	6097892	1	1
chr21	6098746	2	1
chr21	6098756	2	2
chr21	6098777	2	2
chr21	6100121	2	2
chr21	6100135	2	2
chr21	6100145	2	2
chr21	6100208	1	1
chr21	6102728	1	1
chr21	6102768	1	1
chr21	6102781	2	2
chr21	6102789	2	2
chr21	6102806	1	1
chr21	6104280	1	1
chr21	6106820	2	2
chr21	6106849	3	3
chr21	6106874	3	3
chr21	6106880	3	3
chr21	6106892	3	3
chr21	6106894	3	3
chr21	6106902	1	1
chr21	6107326	2	1
chr21	6107332	2	2
chr21	6107338	2	2
chr21	6114892	1	0
chr21	6114914	1	1
chr21	6118456	1	1
chr21	6118468	1	1
chr21	6118478	1	1
chr21	6118487	1	1
chr21	6118501	1	1
chr21	6121005	1	1
chr21	6121007	1	1
chr21	6121024	1	1
chr21	6121036	1	1
chr21	6121043	2	2
chr21	6121045	2	2
chr21	6121060	3	3
chr21	6121064	3	3
chr21	6121078	3	3
chr21	6121086	2	2
chr21	6121094	2	2
chr21	6121105	2	2
chr21	6121110	2	2
chr21	6121113	2	2
chr21	6122635	2	1
chr21	6122663	1	1
chr21	6122682	1	1
chr21	6122792	1	0
chr21	6122814	2	0
chr21	6122851	3	0
chr21	6122883	2	2
chr21	6124693	1	1
chr21	6124716	1	1
chr21	6124733	1	1
chr21	6124750	1	0
chr21	6124889	1	1
chr21	6124911	1	1
chr21	6124931	1	1
chr21	6124950	1	1
chr21	6124952	1	1
chr21	6125257	2	2
chr21	6125267	2	2
chr21	6125284	2	2
chr21	6125341	1	1
chr21	6125688	1	0
chr21	6125700	1	0
chr21	6125717	1	0
chr21	6125720	1	0
chr21	6126699	1	1
chr21	6126709	1	1
chr21	6126719	1	1
chr21	6126734	2	2
chr21	6126755	2	2
chr21	6127140	1	1
chr21	6127151	1	1
chr21	6127160	2	2
chr21	6127173	2	2
chr21	6127176	2	2
chr21	6127182	2	2
chr21	6127194	1	1
chr21	6127208	1	1
chr21	6127218	1	1
chr21	6127228	1	1
chr21	6127267	1	1
chr21	6127274	1	1
chr21	6127283	1	1
chr21	6127358	1	1
chr21	6127428	6	2
chr21	6127454	4	1
chr21	6127460	3	0
chr21	6127469	3	0
chr21	6127503	1	0
chr21	6132680	1	1
chr21	6132752	3	3
chr21	6132785	2	2
chr21	6134645	2	1
chr21	6134674	2	2
chr21	6145134	1	1
chr21	6145150	1	1
chr21	6145166	1	1
chr21	6145182	1	1
chr21	6145198	1	1
chr21	6145214	1	1
chr21	6314866	1	1
chr21	6314939	1	1
chr21	6362627	1	0
chr21	6363088	1	1
chr21	6363108	1	0
chr21	6365838	1	1
chr21	6368925	4	2
chr21	6369058	2	0
chr21	6369107	1	0
chr21	6369121	1	0
chr21	6369970	1	0
chr21	6369987	2	0
chr21	6369989	2	0
chr21	6370007	1	0
chr21	6370024	1	0
chr21	6370061	1	0
chr21	6371015	1	0
chr21	6371095	1	0
chr21	6371174	1	0
chr21	6371186	1	0
chr21	6371193	1	0
chr21	6371869	1	0
chr21	6373108	3	2
chr21	6373124	3	1
chr21	6374254	1	0
chr21	6374277	1	0
chr21	6374281	1	0
chr21	6374319	4	4
chr21	6374403	6	0
chr21	6374425	5	0
chr21	6374494	5	4
chr21	6374496	5	3
chr21	6374578	6	0
chr21	6374594	4	3
chr21	6374600	3	0
chr21	6374609	2	1
chr21	6375045	3	2
chr21	6375165	7	5
chr21	6375167	6	4
chr21	6375851	1	0
chr21	6376249	1	1
chr21	6376258	1	1
chr21	6376361	2	2
chr21	6376503	1	1
chr21	6377200	1	0
chr21	6428935	1	1
chr21	6429559	1	1
chr21	6429584	1	1
chr21	6429602	1	1
chr21	6429629	1	0
chr21	6429644	1	1
chr21	6435030	1	1
chr21	6435048	1	1
chr21	6435117	1	1
chr21	6435121	1	1
chr21	6435131	1	1
chr21	6436220	1	1
chr21	6436277	2	2
chr21	6436282	2	2
chr21	6436308	1	1
chr21	6436313	1	1
chr21	6438027	1	0
chr21	6438759	1	1
chr21	6438769	1	1
chr21	6438771	1	1
chr21	6438775	1	1
chr21	6439281	2	1
chr21	6468465	1	0
chr21	6468472	1	0
chr21	6468478	1	0
chr21	6468483	1	0
chr21	6468489	1	0
chr21	6468504	1	0
chr21	6468512	1	0
chr21	6468524	1	0
chr21	6468529	1	0
chr21	6468531	1	0
chr21	6468539	1	0
chr21	6468542	1	0
chr21	6468544	1	0
chr21	6470297	1	1
chr21	6470313	1	1
chr21	6498858	1	0
chr21	6498871	1	0
chr21	6498882	1	0
chr21	6498886	1	0
chr21	6498888	1	0
chr21	6498891	1	0
chr21	6498896	1	0
chr21	6498922	1	0
chr21	6498935	1	0
chr21	6498938	1	0
chr21	6505675	1	1
chr21	6505700	1	1
chr21	6506497	1	1
chr21	6506524	1	1
chr21	6506528	1	1
chr21	6511127	1	1
chr21	6511150	1	1
chr21	6531611	1	1
chr21	6533230	1	1
chr21	6533233	1	1
chr21	6551505	2	2
chr21	6551518	2	2
chr21	6560320	1	1
chr21	6560347	1	1
chr21	6560365	1	1
chr21	6564641	1	0
chr21	6564713	1	0
chr21	6564719	1	0
chr21	6564923	2	0
chr21	6564946	2	0
chr21	6564979	1	0
chr21	6564990	1	0
chr21	6565257	2	0
chr21	6565269	2	0
chr21	6565282	2	0
chr21	6565308	2	0
chr21	6565373	1	0
chr21	6565380	1	0
chr21	6565430	9	8
chr21	6565847	27	25
chr21	6565901	21	17
chr21	6565928	20	18
chr21	6566155	5	4
chr21	6566214	1	1
chr21	6566241	1	1
chr21	6567716	1	1
chr21	6567733	1	1
chr21	6713801	1	1
chr21	6799324	1	0
chr21	6804716	1	0
chr21	6814948	2	1
chr21	6814988	3	3
chr21	6815008	2	2
chr21	6815023	2	2
chr21	6816398	1	1
chr21	6816416	1	1
chr21	6818574	1	1
chr21	6834159	1	1
chr21	6840878	1	1
chr21	6846380	1	1
chr21	6846384	1	1
chr21	6848431	1	1
chr21	6848453	1	1
chr21	6848470	1	1
chr21	6849863	2	2
chr21	6849916	2	2
chr21	6849935	2	2
chr21	6849942	2	2
chr21	6858313	2	1
chr21	6858317	2	2
chr21	6858326	2	1
chr21	6858328	2	2
chr21	6858344	2	2
chr21	6858354	2	2
chr21	6858387	1	0
chr21	6894048	1	1
chr21	6897515	1	0
chr21	6897521	1	1
chr21	6897538	1	1
chr21	6897541	1	1
chr21	6897544	1	1
chr21	6897553	1	1
chr21	6897555	1	1
chr21	6897568	1	0
chr21	6897575	1	1
chr21	6897587	1	1
chr21	6897590	1	1
chr21	6897592	1	1
chr21	6897600	1	1
chr21	6928822	1	0
chr21	6929644	1	1
chr21	6929660	1	1
chr21	6929675	2	2
chr21	6929698	4	4
chr21	6929708	4	4
chr21	6929740	3	3
chr21	6929773	2	2
chr21	6931389	1	1
chr21	6931427	1	1
chr21	6932540	1	1
chr21	7040870	2	1
chr21	7206312	1	0
chr21	7206435	1	1
chr21	7218284	1	1
chr21	7229292	1	1
chr21	7229351	1	1
chr21	7229558	2	2
chr21	7232581	1	1
chr21	7232599	1	1
chr21	7232939	1	1
chr21	7233155	1	1
chr21	7233337	1	0
chr21	7233378	1	0
chr21	7233625	2	2
chr21	7233879	2	0
chr21	7234823	1	1
chr21	7235931	1	0
chr21	7241159	1	1
chr21	7241163	1	1
chr21	7243464	3	0
chr21	7243974	1	1
chr21	7245489	1	0
chr21	7245923	3	1
chr21	7246179	1	0
chr21	7246269	1	1
chr21	7246323	2	1
chr21	7246795	1	1
chr21	7246863	2	1
chr21	7246912	1	0
chr21	7247203	1	1
chr21	7247367	1	0
chr21	7248766	1	1
chr21	7258074	2	2
chr21	7258142	2	2
chr21	7258483	2	0
chr21	7258518	2	1
chr21	7258528	2	2
chr21	7258563	3	2
chr21	7258588	4	4
chr21	7258698	1	0
chr21	7258713	1	1
chr21	7258758	3	3
chr21	7258897	1	1
chr21	7259024	1	0
chr21	7259034	1	1
chr21	7259209	2	2
chr21	7259415	1	1
chr21	7259439	1	1
chr21	7259444	1	1
chr21	7259517	1	1
chr21	7260283	2	2
chr21	7260318	1	0
chr21	7260466	1	1
chr21	7260563	1	1
chr21	7261152	3	0
chr21	7261177	2	0
chr21	7261222	2	2
chr21	7261675	2	2
chr21	7262824	1	1
chr21	7262842	2	1
chr21	7262868	3	1
chr21	7262940	1	1
chr21	7263056	1	0
chr21	7263082	1	1
chr21	7266661	2	2
chr21	7266698	2	1
chr21	7267768	1	0
chr21	7268073	2	2
chr21	7269729	1	1
chr21	7269988	2	2
chr21	7271442	1	1
chr21	7271503	2	0
chr21	7273143	1	1
chr21	7273151	1	1
chr21	7273399	1	1
chr21	7274341	1	1
chr21	7275688	1	1
chr21	7275751	1	0
chr21	7280109	1	0
chr21	7280375	1	1
chr21	7280394	1	1
chr21	7280487	2	1
chr21	7280494	2	2
chr21	7280560	1	1
chr21	7281011	1	1
chr21	7281063	3	1
chr21	7281080	2	0
chr21	7281376	1	1
chr21	7281392	1	1
chr21	7281430	1	1
chr21	7281493	1	1
chr21	7281604	2	2
chr21	7282820	1	1
chr21	7282913	1	0
chr21	7283523	1	1
chr21	7283908	1	1
chr21	7283997	1	0
chr21	7284330	2	0
chr21	7284911	2	2
chr21	7284973	2	2
chr21	7285181	3	1
chr21	7285309	2	2
chr21	7285315	2	2
chr21	7287401	1	1
chr21	7290046	1	0
chr21	7290297	1	1
chr21	7290458	1	1
chr21	7290508	2	1
chr21	7290573	2	1
chr21	7290627	1	1
chr21	7291650	1	1
chr21	7293016	1	1
chr21	7296692	1	1
chr21	7297726	1	1
chr21	7297776	3	2
chr21	7298396	1	1
chr21	7298403	2	2
chr21	7298490	2	1
chr21	7298737	1	1
chr21	7298749	1	1
chr21	7300013	1	1
chr21	7302070	2	2
chr21	7303450	3	3
chr21	7303542	1	0
chr21	7303888	3	3
chr21	7303913	3	3
chr21	7307596	2	2
chr21	7308412	2	2
chr21	7308484	1	0
chr21	7313065	2	2
chr21	7313113	2	2
chr21	7315401	2	2
chr21	7318497	2	0
chr21	7322803	1	1
chr21	7324482	1	1
chr21	7325316	1	1
chr21	7325350	2	1
chr21	7325438	3	1
chr21	7325923	1	0
chr21	7326288	1	0
chr21	7327112	1	1
chr21	7327207	2	0
chr21	7327575	1	0
chr21	7327735	1	0
chr21	7442259	1	1
chr21	7748191	2	2
chr21	7748205	2	2
chr21	7753437	1	1
chr21	7756294	1	1
chr21	7759187	2	2
chr21	7759227	2	2
chr21	7759348	2	1
chr21	7759356	3	3
chr21	7759376	4	4
chr21	7759385	3	3
chr21	7775737	1	1
chr21	7775902	2	0
chr21	7777542	1	0
chr21	7777558	1	0
chr21	7777573	1	1
chr21	7777586	1	0
chr21	7816704	1	1
chr21	7817657	1	1
chr21	7817691	1	1
chr21	7817700	1	1
chr21	7818736	1	1
chr21	7818739	1	1
chr21	7819460	1	1
chr21	7819484	1	1
chr21	7819505	1	1
chr21	7819511	1	1
chr21	7819516	1	1
chr21	7819800	1	1
chr21	7820261	1	1
chr21	7820304	1	0
chr21	7821473	1	1
chr21	7821476	1	1
chr21	7821655	1	1
chr21	7822754	1	1
chr21	7822776	1	1
chr21	7915789	1	1
chr21	7915929	1	1
chr21	7915950	2	0
chr21	7916014	1	0
chr21	7916179	1	0
chr21	7916209	1	1
chr21	7916265	2	1
chr21	7916280	2	2
chr21	7916314	1	1
chr21	7916331	1	1
chr21	7916359	1	1
chr21	7916452	1	1
chr21	7916467	1	1
chr21	7916712	1	1
chr21	7916727	1	1
chr21	7916788	1	1
chr21	7916847	5	5
chr21	7916862	6	5
chr21	7916892	7	4
chr21	7916920	6	6
chr21	7916956	1	1
chr21	7917000	1	1
chr21	7917340	1	0
chr21	7917355	1	1
chr21	7917366	1	1
chr21	7917455	1	1
chr21	7917476	1	1
chr21	7917610	1	1
chr21	7917625	1	1
chr21	7917640	2	2
chr21	7917670	2	1
chr21	7917915	1	1
chr21	7917945	1	1
chr21	7917975	1	1
chr21	7918064	1	1
chr21	7918109	2	2
chr21	7918124	2	2
chr21	7918199	1	1
chr21	7918234	1	1
chr21	7918705	1	1
chr21	7918720	1	1
chr21	7918745	1	1
chr21	7919021	5	5
chr21	7919060	5	5
chr21	7919075	5	5
chr21	7919086	6	5
chr21	7919105	3	3
chr21	7919180	4	2
chr21	7919230	4	3
chr21	7919245	4	1
chr21	7919260	3	3
chr21	7919465	1	1
chr21	7919605	1	1
chr21	7919620	2	1
chr21	7919626	1	1
chr21	7919700	1	1
chr21	7919725	1	1
chr21	7919740	1	1
chr21	7919755	1	1
chr21	7919785	2	2
chr21	7919860	1	1
chr21	7919931	1	1
chr21	7919956	1	1
chr21	7919975	1	0
chr21	7920005	2	2
chr21	7920020	2	1
